"N";"Category";"Category Type";"Type";"Description";"Type";"Identifier";"LDEL";"Fields";"Label";"RDEL";"GEDCOM";"Shorten";"Attribute";"Privacy";"Optional";"Hint";"Tooltip"
87;"Local & State Records: Courts & Governance";"Image Copies";"Microfilm";"FHL-GSU preservation copy";"F";"ESM380";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ID]";"Archival ID";";";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY]";;",";;;;;;;
;;;;;;;;"[ORIGINAL REPOSITORY LOCATION]";;";";;;;;;;
;;;;;;;;"[FILM ID]";;".";;;;;;;
87;"Local & State Records: Courts & Governance";"Image Copies";"Microfilm";"FHL-GSU preservation copy";"S";"ESM380";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
88;"Local & State Records: Courts & Governance";"Image Copies";"Online";;"L";"ESM381";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"P";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
88;"Local & State Records: Courts & Governance";"Image Copies";"Online";;"F";"ESM381";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;;"[NUMBER]";"Case File Number";",";;;;;;;
;;;;;;;;"[CASE]";"Case Label";",";;;;;;;
;;;;;;;;"[TERM]";"Court Term";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;"Quoted";;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE CREATOR/OWNER]";;",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;").";;;;;;;
88;"Local & State Records: Courts & Governance";"Image Copies";"Online";;"S";"ESM381";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;;;;;;;;
;;;;;;;;"[NUMBER]";"Case File Number";",";;;;;;;
;;;;;;;;"[CASE]";"Case Label";",";;;;;;;
;;;;;;;;"[TERM]";"Court Term";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;"Quoted";;;;
89;"Local & State Records: Courts & Governance";"Derivatives";"Databases";"online";"L";"ESM382";;"[TITLE]";;".";"T";;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";".";"P";;;;;;
;;;;;;;;"[WEBSITE]";;".";"T";;"Italics";;;;
;;;;;;;;"[URL (DIGITAL LOCATION)]";;":";"P";;;;;;
;;;;;;;;"[YEAR]";"Year(s)";".";"P";;;;;;
89;"Local & State Records: Courts & Governance";"Derivatives";"Databases";"online";"F";"ESM382";;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";",";;;;;;;
;;;;;;;;"[WEBSITE]";;;;;"Italics";;;;
;;;;;;;"(";"[URL (DIGITAL LOCATION)]";;":";;;;;;;
;;;;;;;"accessed";"[DATE ACCESSED]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;".";;;;;;;
89;"Local & State Records: Courts & Governance";"Derivatives";"Databases";"online";"S";"ESM382";;"[TITLE]";;",";;;"Quoted";;;;
;;;;;;;;"[TYPE]";"Item Type";;;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
90;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"File items";;"L";"ESM421";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
90;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"File items";;"F";"ESM421";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[COLLECTION]";;",";;;;;;;
;;;;;;;;"[NUMBER]";"Item Number or Arrangement";";";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
90;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"File items";;"S";"ESM421";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
91;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Files moved to state archives";;"L";"ESM422";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[COLLECTION]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
91;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Files moved to state archives";;"F";"ESM422";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;"file:";"[FILE]";;",";;;"Quoted";;;;
;;;;;;;;"[NUMBER]";"Item Number or Arrangement";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[DATE]";;",";;;;;"Optional";;
;;;;;;;;"[COLLECTION]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
91;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Files moved to state archives";;"S";"ESM422";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;"file:";"[FILE]";;",";;;"Quoted";;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
92;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Registers";"Named volume";"L";"ESM423";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
92;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Registers";"Named volume";"F";"ESM423";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[DATE]";;",";;;;;"Optional";;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
92;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Registers";"Named volume";"S";"ESM423";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
93;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Registers";"Numbered volume";"L";"ESM424";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
93;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Registers";"Numbered volume";"F";"ESM424";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;;;;;;;;
;;;;;;;;"[DATE]";;";";;;;;"Optional";;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
93;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Registers";"Numbered volume";"S";"ESM424";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
94;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital-records certificate";;"L";"ESM425";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
94;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital-records certificate";;"F";"ESM425";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";;;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
94;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital-records certificate";;"S";"ESM425";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";;;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
95;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital-records register";;"L";"ESM426";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[VOLUME]";;".";"T";;"Quoted";;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
95;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital-records register";;"F";"ESM426";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;"Quoted";;;;
;;;;;;;;"[SECTION]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
95;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital-records register";;"S";"ESM426";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;"Quoted";;;;
;;;;;;;;"[SECTION]";;",";;;;;;;
;;;;;;;"p.";"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
96;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital records, amended";;"L";"ESM427";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
96;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital records, amended";;"F";"ESM427";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";",";;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[CREDIT LINE]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
96;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital records, amended";;"S";"ESM427";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";",";;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
97;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital records, delayed";;"L";"ESM428";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
97;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital records, delayed";;"F";"ESM428";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";",";;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
97;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"Local Records";"Vital records, delayed";;"S";"ESM428";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";",";;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
98;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Miscellaneous file";;"L";"ESM429";;"[JURISDICTION]";"Jurisdiction (State)";".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[GROUP]";"Record Group Name";",";"T";;;;;;
;;;;;;;;"[NUMBER]";"Record Group Number";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
98;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Miscellaneous file";;"F";"ESM429";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Document";",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[SERIES]";;";";;;;;;;
;;;;;;;;"[GROUP]";"Record Group Name";",";;;;;;;
;;;;;;;;"[NUMBER]";"Record Group Number";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
98;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Miscellaneous file";;"S";"ESM429";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Document";".";;;;;;;
99;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital-records certificate";;"L";"ESM430";;"[JURISDICTION]";"Jurisdiction (State)";".";"T";;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
99;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital-records certificate";;"F";"ESM430";;"[JURISDICTION]";"Jurisdiction (State)";;;;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";;;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
99;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital-records certificate";;"S";"ESM430";;"[JURISDICTION]";"Jurisdiction (State)";;;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";;;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
100;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital-records register";;"L";"ESM431";;"[JURISDICTION]";"Jurisdiction (State)";".";"T";;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
100;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital-records register";;"F";"ESM431";;"[JURISDICTION]";"Jurisdiction (State)";;;;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[BOOK]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[NUMBER]";"Entry";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[DATE]";;",";;;;;"Optional";;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
100;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital-records register";;"S";"ESM431";;"[JURISDICTION]";"Jurisdiction (State)";;;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[BOOK]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[NUMBER]";"Entry";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
101;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital records, amended";;"L";"ESM432";;"[JURISDICTION]";"Jurisdiction (State)";".";"T";;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
101;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital records, amended";;"F";"ESM432";;"[JURISDICTION]";"Jurisdiction (State)";;;;;;;;
;;;;;;;;"[CREATOR]";"Agency/Creator";",";;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";;;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";")";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
101;"Local & State Records: Licenses, Registrations, Rolls & Vital Records";"State-level Records";"Vital records, amended";;"S";"ESM432";;"[JURISDICTION]";"Jurisdiction (State)";;;;;;;;
;;;;;;;;"[TYPE]";"Certificate Type";;;;;;;;
;;;;;;;;"[NUMBER]";"Certificate Number";;;;;;;;
;;;;;;;"(";"[DATE]";"Certificate Date";"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;".";;;;;;;
102;"Local & State Records: Property & Probates";"Original Records";"Local";"Case files";"L";"ESM487";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
102;"Local & State Records: Property & Probates";"Original Records";"Local";"Case files";"F";"ESM487";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[NUMBER]";"File Number";",";;;;;;;
;;;;;;;;"[FILE]";"File Name";;;;;;;;
;;;;;;;"(";"[FILE DATE]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
102;"Local & State Records: Property & Probates";"Original Records";"Local";"Case files";"S";"ESM487";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[NUMBER]";"File Number";",";;;;;;;
;;;;;;;;"[FILE]";"File Name";;;;;;;;
;;;;;;;"(";"[FILE DATE]";;"),";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;;;;;;
103;"Local & State Records: Property & Probates";"Original Records";"Local";"Registers";"L";"ESM488";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
103;"Local & State Records: Property & Probates";"Original Records";"Local";"Registers";"F";"ESM488";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
103;"Local & State Records: Property & Probates";"Original Records";"Local";"Registers";"S";"ESM488";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
104;"Local & State Records: Property & Probates";"Original Records";"Local";"Tract book";"L";"ESM489";;"[JURISDICTION]";;".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
104;"Local & State Records: Property & Probates";"Original Records";"Local";"Tract book";"F";"ESM489";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
104;"Local & State Records: Property & Probates";"Original Records";"Local";"Tract book";"S";"ESM489";;"[JURISDICTION]";;",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[VOLUME]";;":";;;;;;;
;;;;;;;;"[PAGE]";"Page(s)";",";;;;;;;
;;;;;;;;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";".";;"YEAR";;;;;
105;"Local & State Records: Property & Probates";"Original Records";"State level";"Land-grant register";"L";"ESM490";;"[JURISDICTION]";"Jurisdiction/Agency";".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
105;"Local & State Records: Property & Probates";"Original Records";"State level";"Land-grant register";"F";"ESM490";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";";";;;;;;;
;;;;;;;;"[SERIES]";;";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
105;"Local & State Records: Property & Probates";"Original Records";"State level";"Land-grant register";"S";"ESM490";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[VOLUME]";;",";;;"Quoted";;;;
;;;;;;;;"[PAGE]";"Page(s)";".";;;;;;;
106;"Local & State Records: Property & Probates";"Original Records";"State level";"Land warrants: loose";"L";"ESM491";;"[JURISDICTION]";"Jurisdiction (State)";".";"T";;;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[TITLE]";"Record Group";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";"P";"LOC";;;;;
106;"Local & State Records: Property & Probates";"Original Records";"State level";"Land warrants: loose";"F";"ESM491";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";";";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[TITLE]";"Record Group Name";";";;;;;;;
;;;;;;;;"[REPOSITORY]";;",";;;;;;;
;;;;;;;;"[REPOSITORY ADDRESS]";;".";;"LOC";;;;;
106;"Local & State Records: Property & Probates";"Original Records";"State level";"Land warrants: loose";"S";"ESM491";;"[ITEM OF INTEREST]";;",";;;;;;;
;;;;;;;;"[DATE]";"Record Date(s)";",";;;;;;;
;;;;;;;;"[SERIES]";;",";;;;;;;
;;;;;;;;"[JURISDICTION]";;".";;;;;;;
107;"Local & State Records: Property & Probates";"Image Copies";"CD/DVD";;"L";"ESM492";;"[JURISDICTION]";"Jurisdiction/Agency";".";"T";"REV.";;;;;
;;;;;;;;"[SERIES]";;".";"T";;;;;;
;;;;;;;;"[TITLE]";"Record Group";".";"T";;;;;;
;;;;;;;;"[REPOSITORY]";;",";"P";;;;;;
